"","x"
"325",546624.913011283
"326",546727.129018006
"327",546024.787313524
"328",546025.877270705
"329",545840.283781612
"330",545654.690292519
"331",545542.82734413
"332",547871.32337426
"333",550821.352648251
"334",550732.542184703
"335",550846.226407518
"336",550959.910630333
"337",546980.714145881
"338",546473.42599419
"339",546517.12331847
"340",546526.248473747
"341",545437.871878783
"342",544349.495283818
"343",546273.741469895
"344",545173.187609966
"345",545214.179267244
"346",545137.07927795
"347",545119.824952488
"348",545102.570627026
"349",543472.080660713
"350",542901.635867823
"351",542921.995341648
"352",542719.280181368
"353",543008.77920193
"354",543298.278222491
"355",546589.532289679
"356",546602.018067481
"357",546551.373788513
"358",546500.729509545
"359",546000.573004888
"360",545500.416500232
"361",545000.259995576
"362",544769.777282161
"363",544761.462823475
"364",544400.589107556
"365",544122.453970918
"366",543844.31883428
"367",543204.411783262
"368",542912.335033937
"369",542935.427873281
"370",543022.8476092
"371",542166.545471044
"372",541974.989442655
"373",541855.530308336
"374",541775.783147937
"375",541739.275602053
"376",541487.589858197
"377",541981.76118127
"378",542475.932504344
"379",541691.977958277
"380",541306.470164597
"381",540987.067379573
"382",540684.650166184
"383",541793.845914157
"384",542903.04166213
"385",545036.811584735
"386",543667.364037134
"387",543716.418824785
"388",543572.685881387
"389",543765.764873473
"390",543958.843865558
"391",541340.576831741
"392",539977.782037635
"393",540254.044916008
"394",540277.509167446
"395",540860.331331029
"396",541443.153494612
"397",541243.585661241
"398",541044.01782787
"399",541760.476755038
"400",541793.80712404
"401",541710.422737996
"402",541627.038351951
"403",541543.653965907
"404",545855.840135185
"405",550499.05924796
"406",552180.160556591
"407",552448.409022665
"408",552716.657488739
"409",552731.808973848
"410",554631.830912426
"411",554730.191236894
"412",554713.57068581
"413",554001.783870942
"414",553289.997056074
"415",552578.210241205
"416",548207.96975034
"417",544617.824509798
"418",541872.338972072
"419",541593.636902923
"420",541314.934833774
"421",541342.32859412
"422",536281.208951785
"423",535442.955455757
"424",535436.713968641
"425",535441.663004339
"426",535446.612040037
"427",535435.399608484
"428",535481.429621627
"429",535555.511937328
"430",537960.902490905
"431",538298.773977307
"432",538636.64546371
"433",538585.611529394
"434",538940.348905159
"435",539497.469044877
"436",539925.584342703
"437",538760.841258619
"438",537596.098174536
"439",535816.881259443
"440",535576.941088466
"441",535503.965437863
"442",535430.98978726
"443",535381.70916023
"444",535273.23110603
"445",535228.989611427
"446",535499.179917651
