"","x"
"547",561512.255144789
"548",556248.959878362
"549",562022.396724315
"550",561458.340186636
"551",558599.913246225
"552",558203.320944901
"553",561738.750716147
"554",561399.529514061
"555",560033.99979284
"556",561343.483250089
"557",560894.426280324
"558",561550.358832074
"559",561197.661749437
"560",560903.523134707
"561",561750.978985513
"562",560699.939126594
"563",564236.845851712
"564",561473.098587928
"565",561187.104896956
"566",561426.753245743
"567",561675.237038793
"568",560489.155403658
"569",561254.274174293
"570",560448.240268524
"571",561140.287777337
"572",562662.013613738
"573",561329.051833115
"574",559271.425333227
"575",561174.992805885
"576",561261.379874578
"577",557632.648229208
"578",560660.948435296
"579",560473.670171409
"580",561518.655858897
"581",559936.690885036
"582",562110.903050193
"583",561263.125391979
"584",562648.435870738
"585",560956.42370699
"586",561353.312527019
"587",560110.068673634
"588",562413.960412163
"589",561007.277888534
"590",561330.056922741
"591",559491.076495857
"592",560751.838250442
"593",561425.224903598
"594",561973.258401622
"595",559537.385398977
"596",562091.052253322
"597",560387.444410543
"598",560812.979901578
"599",561011.982358033
"600",559246.505507549
"601",568206.602109198
"602",565690.067915267
"603",564713.526543094
"604",565105.144329821
"605",564887.739948369
"606",561940.293898228
"607",565341.448566767
"608",565136.755980271
"609",564027.625339009
"610",565329.417704387
"611",566095.899883178
"612",565060.317741973
"613",565421.514970975
"614",565000.352106623
"615",565145.701815363
"616",566185.582845524
"617",565127.874988065
"618",564511.052377178
"619",566830.770645585
"620",564926.830354096
"621",565167.16914626
"622",566002.830112953
"623",565204.687812953
"624",566502.057950185
"625",565178.82784779
"626",566951.116481501
"627",564061.880234827
"628",565143.605425215
"629",563120.474289349
"630",565115.898268757
"631",569048.383086639
"632",565062.608014011
"633",570139.001384366
"634",565355.125288892
"635",564964.755706565
"636",565505.201889807
"637",565173.71089558
"638",565069.725984569
"639",565095.493043626
"640",565709.682997209
"641",560613.974547219
"642",565242.545209971
"643",565169.156367832
"644",564335.242982299
"645",565084.314840979
"646",564202.359578223
"647",566932.717999244
"648",564799.601159822
"649",565150.966393799
"650",565134.667942365
"651",565150.133146475
"652",565470.618840486
"653",564857.864602896
"654",564731.379975679
"655",565292.229133882
"656",566320.731495455
"657",565118.199755231
"658",565392.464978342
"659",562192.746345787
"660",565042.424935324
"661",565330.98125253
"662",564444.024557624
"663",565379.719119779
"664",565498.028617875
"665",565712.821307275
"666",565921.390706678
"667",565482.065932077
"668",565807.629873694
"669",564597.273563182
"670",566970.870732951
"671",565510.493024817
"672",566270.805457626
"673",565939.072479247
"674",563934.008152853
"675",565484.092096434
"676",565265.63184854
"677",566121.732947183
"678",566837.631570408
"679",567426.880160639
"680",565895.645011607
"681",565250.988706443
"682",565183.0504894
"683",565077.96640175
"684",565568.292376531
"685",564169.297300808
"686",565176.298235532
"687",565148.886294727
"688",565833.253116173
"689",566257.025679994
"690",564907.337021019
"691",565084.448931855
"692",566301.04892544
"693",565180.261853439
"694",561384.133567947
"695",564132.475264486
"696",564708.117533389
"697",565366.338983288
"698",565094.328461505
"699",565515.876886164
"700",565453.941962483
"701",570191.16583152
"702",569375.303841769
"703",569494.677581867
"704",568759.437340367
"705",569419.04130861
"706",568967.573639579
"707",568336.148072584
"708",569364.440568176
"709",570269.633123204
"710",569580.236449057
"711",569609.648651168
"712",567827.826378859
"713",568984.387395675
"714",571858.741135461
"715",569536.59232581
"716",569968.009096534
"717",569253.277412835
"718",569118.390577241
"719",570339.522642507
"720",569557.531006711
"721",569264.114400296
"722",568988.979488606
"723",570681.5096694
"724",569145.891369682
