id,x,y,date,time
220,586671,5805775,12/9/2004,6:01
220,586713,5805928,12/9/2004,8:00
220,583628,5805618,12/9/2004,10:01
220,584872,5805518,12/9/2004,12:00
220,584869,5805537,12/9/2004,14:00
220,584872,5805516,12/9/2004,16:01
220,586435,5807362,12/9/2004,18:00
220,588191,5810782,12/9/2004,20:01
220,588191,5810429,12/9/2004,22:01
220,588422,5807764,12/10/2004,0:00
220,586259,5807443,12/10/2004,2:01
220,586257,5807391,12/10/2004,4:00
220,586260,5807389,12/10/2004,6:00
220,586255,5807389,12/10/2004,8:00
220,582692,5806618,12/10/2004,10:01
220,580413,5805352,12/10/2004,12:00
220,582355,5804978,12/10/2004,14:00
220,582366,5804986,12/10/2004,16:00
220,582360,5804978,12/10/2004,18:01
220,582339,5804935,12/10/2004,20:01
220,582349,5804940,12/10/2004,22:00
220,582331,5804994,12/11/2004,0:00
220,582687,5811462,12/11/2004,4:01
220,587520,5811567,12/11/2004,6:01
220,587393,5806753,12/11/2004,10:00
220,587422,5806624,12/11/2004,12:00
220,587146,5806248,12/11/2004,14:01
220,586712,5805592,12/11/2004,16:00
220,587314,5803973,12/11/2004,18:01
220,587367,5804439,12/11/2004,20:00
220,587372,5804441,12/11/2004,22:00
220,587361,5804425,12/12/2004,0:00
220,592470,5799615,12/12/2004,2:01
220,596036,5795709,12/12/2004,4:01
220,596092,5795330,12/12/2004,6:01
220,596097,5795316,12/12/2004,8:00
220,594794,5794576,12/12/2004,10:01
220,594953,5794430,12/12/2004,12:00
220,594955,5794440,12/12/2004,14:00
220,595191,5794634,12/12/2004,16:01
220,596024,5795280,12/12/2004,18:00
220,596027,5795287,12/12/2004,20:01
220,596041,5795293,12/12/2004,22:01
220,596040,5795284,12/13/2004,0:00
220,596625,5795088,12/13/2004,2:00
220,602494,5795909,12/13/2004,4:01
220,598968,5797855,12/13/2004,6:01
220,599198,5797610,12/13/2004,8:00
220,597186,5801593,12/13/2004,10:00
220,599283,5799910,12/13/2004,12:00
220,599120,5800047,12/13/2004,14:01
220,599191,5799952,12/13/2004,16:00
220,599309,5799162,12/13/2004,18:00
