"","x_","y_","t_","grid_id"
"256",553248.4894,7640136.158,2005-07-15 00:18:00,612
"257",555042.2503,7642995.096,2005-07-15 08:18:00,665
"258",550621.7859,7644873.798,2005-07-15 12:18:00,689
"259",549293.5482,7642264.709,2005-07-15 16:18:00,636
"260",546939.3051,7640383.348,2005-07-15 20:18:00,609
"261",546982.6576,7640376.039,2005-07-16 00:18:00,609
"262",545720.9795,7638965.855,2005-07-16 04:18:00,609
"263",546752.9022,7638802.689,2005-07-16 08:18:00,609
"264",546624.913,7639141.398,2005-07-16 12:18:00,609
"265",546727.129,7639449.985,2005-07-16 16:18:00,609
"266",546024.7873,7640419.085,2005-07-16 20:18:00,609
"267",546025.8773,7640393.111,2005-07-17 00:18:00,609
"268",545654.6903,7639033.039,2005-07-17 08:18:00,609
"269",545542.8273,7638122.906,2005-07-17 12:18:00,582
"270",547871.3234,7635376.057,2005-07-17 16:18:00,558
"271",550821.3526,7635368.732,2005-07-17 20:18:00,559
"272",550732.5422,7634925.719,2005-07-18 00:18:00,559
"273",550959.9106,7640308.626,2005-07-18 08:18:00,611
"274",546980.7141,7640025.987,2005-07-18 12:18:00,609
"275",546473.426,7639540.305,2005-07-18 16:18:00,609
"276",546517.1233,7639526.854,2005-07-18 20:18:00,609
"277",546526.2485,7639578.131,2005-07-19 00:18:00,609
"278",544349.4953,7639073.474,2005-07-19 08:18:00,608
"279",546273.7415,7639212.684,2005-07-19 12:18:00,609
"280",545173.1876,7639155.219,2005-07-19 16:18:00,608
"281",545214.1793,7639106.83,2005-07-19 20:18:00,608
"282",545137.0793,7639229.909,2005-07-20 00:18:00,608
"283",545102.5706,7638916.315,2005-07-20 08:18:00,608
"284",543472.0807,7638075.916,2005-07-20 12:18:00,581
"285",542901.6359,7637639.88,2005-07-20 16:18:00,581
"286",542921.9953,7637619.203,2005-07-20 20:18:00,581
"287",542719.2802,7637286.529,2005-07-21 00:18:00,581
"288",543298.2782,7635672.197,2005-07-21 08:18:00,555
"289",546589.5323,7639392.655,2005-07-21 12:18:00,609
"290",546602.0181,7639382.174,2005-07-21 16:18:00,609
"291",546500.7295,7639619.885,2005-07-22 00:18:00,609
"292",545000.26,7639002.035,2005-07-22 12:18:00,608
"293",544769.7773,7638979.59,2005-07-22 16:18:00,608
"294",544761.4628,7638953.85,2005-07-22 20:18:00,608
"295",544400.5891,7639162.79,2005-07-23 00:18:00,608
"296",543844.3188,7637898.513,2005-07-23 08:18:00,582
"297",543204.4118,7637667.776,2005-07-23 12:18:00,581
"298",542912.335,7637650.655,2005-07-23 16:18:00,581
"299",542935.4279,7637691.223,2005-07-23 20:18:00,581
"300",543022.8476,7637302.618,2005-07-24 00:18:00,581
"301",542166.5455,7635415.073,2005-07-24 04:18:00,555
"302",541974.9894,7634236.917,2005-07-24 08:18:00,529
"303",541855.5303,7634293.291,2005-07-24 12:18:00,529
"304",541775.7831,7635546.718,2005-07-24 16:18:00,555
"305",541739.2756,7635526.433,2005-07-24 20:18:00,555
"306",541487.5899,7635560.324,2005-07-25 00:18:00,554
"307",542475.9325,7640704.051,2005-07-25 08:18:00,633
"308",541691.978,7642871.484,2005-07-25 12:18:00,659
"309",541306.4702,7641165.695,2005-07-25 16:18:00,632
"310",540987.0674,7641606.041,2005-07-25 20:18:00,632
"311",540684.6502,7641128.603,2005-07-26 00:18:00,632
"312",542903.0417,7641208.29,2005-07-26 08:18:00,633
"313",545036.8116,7641705.618,2005-07-26 12:18:00,634
