t,x,y,datetime
395,541443.1535,7634292.476,2005-07-28 8:18
397,541044.0178,7636360.282,2005-07-28 16:18
398,541760.4768,7635573.873,2005-07-28 20:18
399,541793.8071,7635608.276,2005-07-29 0:18
402,541543.654,7632191.456,2005-07-29 12:18
403,545855.8401,7633639.48,2005-07-29 16:18
404,550499.0592,7635405.121,2005-07-29 20:18
405,552180.1606,7634423.161,2005-07-30 0:18
407,552716.6575,7627103.274,2005-07-30 8:18
408,552731.809,7627103.299,2005-07-30 12:18
409,554631.8309,7621313.327,2005-07-30 16:18
410,554730.1912,7619975.993,2005-07-30 20:18
411,554713.5707,7620006.595,2005-07-31 0:18
414,552578.2102,7619995.198,2005-07-31 12:18
415,548207.9698,7619073.624,2005-07-31 16:18
416,544617.8245,7619067.067,2005-07-31 20:18
417,541872.339,7619445.57,2005-08-01 0:18
419,541314.9348,7618897.482,2005-08-01 8:18
420,541342.3286,7618945.406,2005-08-01 12:18
421,536281.209,7618067.937,2005-08-01 16:18
422,535442.9555,7617988.917,2005-08-01 20:18
423,535436.714,7618130.58,2005-08-02 0:18
425,535446.612,7618042.364,2005-08-02 8:18
426,535435.3996,7618054.435,2005-08-02 12:18
427,535481.4296,7617745.057,2005-08-02 16:18
428,535555.5119,7618185.217,2005-08-02 20:18
429,537960.9025,7618317.395,2005-08-03 0:18
431,538636.6455,7614362.584,2005-08-03 8:18
432,538585.6115,7614525.863,2005-08-03 12:18
433,538940.3489,7613394.176,2005-08-03 16:18
434,539497.469,7612975.562,2005-08-03 20:18
435,539925.5843,7610695.711,2005-08-04 0:18
437,537596.0982,7614049.854,2005-08-04 8:18
438,535816.8813,7616748.558,2005-08-04 12:18
439,535576.9411,7617440.061,2005-08-04 16:18
441,535430.9898,7617712.282,2005-08-05 0:18
442,535381.7092,7618443.212,2005-08-05 4:18
443,535273.2311,7618926.159,2005-08-05 8:18
444,535228.9896,7619058.871,2005-08-05 12:18
445,535499.1799,7618595.202,2005-08-05 16:18
446,535435.7797,7618387.802,2005-08-05 20:18
447,535476.921,7618257.906,2005-08-06 0:18
448,535484.0205,7617909.198,2005-08-06 4:18
449,535488.731,7617832.214,2005-08-06 8:18
450,535484.4471,7617835.319,2005-08-06 12:18
451,535674.4521,7617084.942,2005-08-06 16:18
452,535693.8135,7617215.57,2005-08-06 20:18
453,535574.349,7617428.645,2005-08-07 0:18
455,538272.1681,7613131.274,2005-08-07 8:18
456,539892.7713,7610256.615,2005-08-07 12:18
458,536893.5865,7613679.499,2005-08-07 20:18
459,536922.1657,7613753.084,2005-08-08 0:18
461,536368.4994,7614421.699,2005-08-08 8:18
462,536388.0224,7614442.788,2005-08-08 12:18
463,535757.9247,7614300.021,2005-08-08 16:18
465,535104.1484,7614634.733,2005-08-09 0:18
467,535119.2162,7614708.368,2005-08-09 8:18
468,535112.5086,7614699.704,2005-08-09 12:18
469,535936.565,7615038.968,2005-08-09 16:18
470,537890.1337,7612036.782,2005-08-09 20:18
471,538071.0892,7611933.66,2005-08-10 0:18
473,539702.2252,7609651.069,2005-08-10 8:18
474,539681.7486,7609657.431,2005-08-10 12:18
475,540085.8651,7608983.677,2005-08-10 16:18
476,539833.9812,7608896.196,2005-08-10 20:18
477,540402.9303,7608416.307,2005-08-11 0:18
479,540294.2594,7608119.762,2005-08-11 8:18
480,540306.6762,7608122.654,2005-08-11 12:18
481,539090.2059,7608992.933,2005-08-11 16:18
482,538831.6722,7608858.916,2005-08-11 20:18
483,539099.6588,7609261.216,2005-08-12 0:18
485,539345.4794,7610308.143,2005-08-12 8:18
486,539314.5918,7610312.841,2005-08-12 12:18
